Model,B-PER Precision,B-PER Recall,B-PER F1,I-PER Precision,I-PER Recall,I-PER F1,Accuracy,Macro F1,Weighted F1
Dictionary Baseline,0.1492080633549316,0.5126777983920842,0.23114456991495888,0.31317494600431967,0.2508650519031142,0.27857829010566765,0.8513836545709056,0.4761923775264593,0.8789665666280789
Maximum Entropy Classifier,0.9088191330343797,0.7520098948670377,0.8230118443316413,0.8885964912280702,0.8762975778546713,0.882404181184669,0.9833961451491332,0.8989558837684125,0.9828713313433806
